Subject,Description,Section,Days,Start_Time,End_Time,Room (Capacity),Enrollment_Cap,Instructor,Session,Units
ACCT,ACCT 100 - Foundations of Accounting I,*100-LEC(1461),"Tue,Thu",1:00PM,2:15PM,PBL 202,62,"Skomra,Piotr Antoni",Regular,3
ACCT,ACCT 100 - Foundations of Accounting I,*100-LEC(1461),"Mon,Wed",12:45PM,2:00PM,PBL 202,62,"Skomra,Piotr Antoni",Regular,3
ACCT,ACCT 100 - Foundations of Accounting I,*101-LEC(1462),"Mon,Wed",9:00AM,10:15AM,PBL 202,62,"Sasmaz, Mary
Carlisle,Melissa R",Regular,3
ACCT,ACCT 100 - Foundations of Accounting I,*101-LEC(1462),"Tue,Thu",8:30AM,9:45AM,PBL 202,62,"Sasmaz, Mary
Carlisle,Melissa R",Regular,3
ACCT,ACCT 100 - Foundations of Accounting I,*102-LEC(1463),"Mon,Wed",10:30AM,11:45AM,PBL 202,62,"Sasmaz, Mary
Carlisle,Melissa R",Regular,3
ACCT,ACCT 100 - Foundations of Accounting I,*102-LEC(1463),"Tue,Thu",10:00AM,11:15AM,PBL 202,62,"Sasmaz, Mary
Carlisle,Melissa R",Regular,3
ACCT,ACCT 106 - Spreadsheet Basics for Business and Non-Business Majors,*100-LEC(1423),Tue,8:30AM,9:20AM,PBL 501,50.0,"Szabo, Bruce
Olavarria Baeza,Jose Valentin",Regular,1
ACCT,ACCT 106 - Spreadsheet Basics for Business and Non-Business Majors,*100-LEC(1423),Wed,9:00AM,9:50AM,PBL 501,50.0,"Szabo, Bruce
Olavarria Baeza,Jose Valentin",Regular,1
ACCT,ACCT 106 - Spreadsheet Basics for Business and Non-Business Majors,*101-LEC(1404),Thu,1:00PM,1:50PM,PBL 106,50,"Olavarria, Jose
Szabo,Bruce MIchael",Regular,1
ACCT,ACCT 106 - Spreadsheet Basics for Business and Non-Business Majors,*101-LEC(1404),Wed,1:00PM,1:50PM,PBL 106,50,"Olavarria, Jose
Szabo,Bruce MIchael",Regular,1
ACCT,ACCT 106 - Spreadsheet Basics for Business and Non-Business Majors,*101-LEC(1404),Tue,10:00AM,10:50AM,PBL 106,50,"Olavarria, Jose
Szabo,Bruce MIchael",Regular,1
ACCT,ACCT 200 - Foundations of Accounting II,*100-LEC(1400),"Mon,Wed",6:00PM,7:15PM,PBL 02,60   59,"Blakeway-Phillips,Heidi Christine",Regular,3
ACCT,ACCT 200 - Foundations of Accounting II,*100-LEC(1400),"Mon,Wed",9:00AM,10:15AM,PBL 02,60   59,"Blakeway-Phillips,Heidi Christine",Regular,3
ACCT,ACCT 200 - Foundations of Accounting II,*101-LEC(1402),"Mon,Wed",12:45PM,2:00PM,PBL 401,60   59,"Blakeway-Phillips,Heidi Christine",Regular,3
ACCT,ACCT 200 - Foundations of Accounting II,*102-LEC(1403),"Mon,Wed",3:20PM,4:35PM,PBL 02,60   59,"Blakeway-Phillips,Heidi Christine",Regular,3
ACCT,ACCT 300 - Corporate Reporting I,*100-LEC(1321),"Mon,Wed",12:45PM,2:00PM,"PBL 03
PBL 04",40   50,"Sasmaz,Mary B",Regular,3
ACCT,ACCT 300 - Corporate Reporting I,*100-LEC(1321),"Tue,Thu",1:00PM,2:15PM,"PBL 03
PBL 04",40   50,"Sasmaz,Mary B",Regular,3
,ACCT400 - Corporate Reporting I,100-LEC(10258),"Mon,Wed",12:45PM,2:00PM,"PBL 03
PBL 04",10.0,"Sasmaz,Mary B",Regular,3.0
,ACCT400 - Corporate Reporting I,100-LEC(10258),"Tue,Thu",1:00PM,2:15PM,"PBL 03
PBL 04",10.0,"Sasmaz,Mary B",Regular,3.0
ACCT,ACCT 301 - Corporate Reporting II,*100-LEC(1322),"Mon,Wed",9:00AM,10:15AM,PBL 106,40   58,"Dong,Yufan",Regular,3
ACCT,ACCT 401 - Corporate Reporting II,100-LEC(10259),"Mon,Wed",9:00AM,10:15AM,PBL 106,10.0,"Dong,Yufan",Regular,3
ACCT,"ACCT 305 - Income Tax: Concepts, Skills, Planning",*100-LEC(1323),"Mon,Wed",10:35AM,11:50AM,To Be Announced,50,"Fogarty,Timothy J",Regular,3
ACCT,"ACCT 305 - Income Tax: Concepts, Skills, Planning",100-LEC(1323),"Mon,Wed",3:20PM,4:35PM,PBL 118,40  35,"Fogarty,Timothy J",Regular,3
ACCT,ACCT 306 - Systems & Controls (STEM),*100-LEC(10062),"Tue,Thu",10:00AM,11:15AM,PBL 401,35   60,"Bucaro, Anthony   Staff",Regular,3
,ACCT 406 - Systems & Controls (STEM),100-LEC(10508),"Tue,Thu",10:00AM,11:15AM,PBL 401,15.0,"Bucaro, Anthony   Staff",Regular,3
ACCT,ACCT 307 - Applied Management Accounting,*100-LEC(1324),"Tue,Thu",11:30AM,12:45PM,PBL 401,45,"Jarvis,Mark",Regular,3
,ACCT 407 - Applied Management Accounting,100-LEC(10509),"Tue,Thu",11:30AM,12:45PM,PBL 401,10.0,"Jarvis,Mark",Regular,3.0
ACCT,ACCT 307L - Technology Lab for Management Accounting,*100-LAB(1401),"Thu,Tue",2:30PM,3:30PM,PBL 106,45,"Jarvis,Mark",Regular,1
,ACCT 316 - Technology for Financial Management,100-LEC(10210),Thu,1:00PM,2:15PM,PBL 05,35.0,"Bucaro, Anthony   ",,1.0
ACCT,ACCT 404 - Advanced Financial Reporting,*400-LEC(1391),"Mon,Wed",4:00PM,5:15PM,PBL 258,50   55,"Martin,Sharon Lee",Regular,3
ACCT,ACCT 404 - Advanced Financial Reporting,*400-LEC(1391),"Mon,Wed",12:45PM,2:00PM,PBL 258,50   55,"Martin,Sharon Lee",Regular,3
ACCT,ACCT 405 - Advanced Federal Taxes,100-LEC(1484),Wed,6:00PM,8:30PM,PBL 118,50   51,"Barrus,Mark Elliott",Regular,3
ACCT,ACCT 414 - Corporate Reporting and Analysis,*100-LEC(1369),Thu,6:00PM,8:30PM,PBL 202,50   62,"Olavarria Baeza,Jose Valentin",Regular,3
ACCT,"ACCT 431 - Client Communication, Ethics, and Professionalism",*100-LEC(1249),Mon,6:00PM,8:30PM,PBL 501,50   55,"Johnson,David G",Regular,3
ACCT,"ACCT 431 - Client Communication, Ethics, and Professionalism",*100-LEC(1249),Mon,3:00PM,5:45PM,PBL 501,50   55,"Johnson,David G",Regular,3
ACCT,ACCT 444 - Advanced Auditing Theory and Practice,*100-LEC(1258),Thu,2:30PM,5:15PM,PBL 106,50   55,"Carlisle, Melissa
Staff",Regular,3
ACCT,ACCT 444 - Advanced Auditing Theory and Practice,*100-LEC(1258),Wed,3:00PM,5:45PM,PBL 106,50   55,"Carlisle, Melissa
Staff",Regular,3
ACCT,ACCT 501 - Special Problems and Topics: Accounting Information Systems,*102-IND(1487),"Tue,Thu",1:00PM,2:15PM,To Be Announced,58,"Bucaro,Anthony Carl",Regular,0-18
ACCT,ACCT 520 - Advanced Accounting Theory,*100-LEC(1460),Tue,6:00PM,8:30PM,PBL 118,50   51,"Jonas, Gregory 
Blackburn,Christopher",Regular,3
ACCT,ACCT 601 - Special Problems and Topics: Experimental Rsch & Auditing,*100-RSC(1447),Wed,9:00AM,12:00PM,To Be Announced,999,"Bucaro,Anthony Carl; Carlisle,Melissa R",Regular,1-18
BAFI,BAFI 210 - Seminar: Financial Services Industry,*400-SEM(1319),Mon,6:30PM,8:00PM,PBL 03,40,"Fine,Scott",Dyn Dt,0-1.5
BAFI,BAFI 341 - Money and Banking,*100-LEC(1238),"Tue,Thu",11:30AM,12:45PM,PBL 202,33 (50),"Harmon,Gregory William",Regular,3
ECON,ECON 341 - Money and Banking,*100-LEC(1357),"Tue,Thu",11:30AM,12:45PM,PBL 202,14 (50),"Harmon,Gregory William",Regular,3
BAFI,BAFI 341 - Money and Banking,*101-LEC(1450),"Tue,Thu",2:30PM,3:45PM,PBL 07,33 (50),"Harmon,Gregory William",Regular,3
ECON,ECON 341 - Money and Banking,*101-LEC(1451),"Tue,Thu",2:30PM,3:45PM,PBL 07,14 (50),"Harmon,Gregory William",Regular,3
BAFI,BAFI 351 - Financial Data Science: Data Analytics & Machine Learning Fundamentals,*100-LEC(1464),"Tue,Thu",11:30AM,12:45PM,PBL 05,33,"Vaidya,Jay Dee",Regular,3
